area,cell_label,file,mean_int,rbs,var_int
413.0,2.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos4.ome.tif,14084.143336095136,sd1,587970.4367730196
363.0,3.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos4.ome.tif,14337.991196345702,sd1,626734.0435472673
176.0,4.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos4.ome.tif,14457.18764772354,sd1,399573.06130917254
160.0,5.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos4.ome.tif,14382.53015490498,sd1,538318.6326791106
372.0,1.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos13.ome.tif,14494.749501918837,sd1,601065.8794331354
413.0,2.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos13.ome.tif,14234.259549018276,sd1,460421.28461202205
363.0,3.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos13.ome.tif,14483.18637940774,sd1,547637.874731666
176.0,4.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos13.ome.tif,14391.199823121664,sd1,497327.6939984621
160.0,5.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos13.ome.tif,14408.57937168234,sd1,565793.5691991483
377.0,1.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos13.ome.tif,5640.342428226735,sd4,195061.9653200119
497.0,2.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos13.ome.tif,5586.108823101965,sd4,113165.02144286405
287.0,3.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos13.ome.tif,5654.410077967392,sd4,133622.0304492883
271.0,4.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos13.ome.tif,6062.167341606968,sd4,259161.34958262468
1070.0,5.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos13.ome.tif,6323.33907619901,sd4,380753.57766431
403.0,6.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos13.ome.tif,6040.478654652365,sd4,379143.1441518648
377.0,1.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos0.ome.tif,4686.778596004123,sd4,41475.73029415288
497.0,2.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos0.ome.tif,4675.80809480074,sd4,45648.31607014512
287.0,3.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos0.ome.tif,4704.961842268662,sd4,38225.88071539867
271.0,4.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos0.ome.tif,4669.749715887783,sd4,42260.64048493536
1070.0,5.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos0.ome.tif,4644.688303558604,sd4,45551.08548426475
403.0,6.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos0.ome.tif,5030.658769408259,sd4,176798.68981398694
377.0,1.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos9.ome.tif,4741.4411109604225,sd4,55554.84983763952
497.0,2.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos9.ome.tif,4697.74998570341,sd4,44776.83768460535
287.0,3.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos9.ome.tif,4661.649544333329,sd4,42599.617798762585
271.0,4.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos9.ome.tif,4664.667630450977,sd4,35898.4248370604
1070.0,5.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos9.ome.tif,4679.037017821628,sd4,41604.39500034715
403.0,6.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos9.ome.tif,4622.823073077468,sd4,45118.975748769626
377.0,1.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos8.ome.tif,4736.3067345559275,sd4,43843.8062145163
497.0,2.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos8.ome.tif,4736.309639614683,sd4,45807.55355524451
287.0,3.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos8.ome.tif,4695.914462419051,sd4,46387.2876945652
271.0,4.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos8.ome.tif,4744.3517695523615,sd4,42969.43107325145
1070.0,5.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos8.ome.tif,4683.075372993289,sd4,41926.06873478554
403.0,6.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos8.ome.tif,4733.8630467289795,sd4,47858.17618113721
377.0,1.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos1.ome.tif,4604.545462294625,sd4,47723.58136128464
497.0,2.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos1.ome.tif,4650.699036545425,sd4,44634.958343041675
287.0,3.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos1.ome.tif,4676.334653179452,sd4,37353.05889909352
271.0,4.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos1.ome.tif,4680.1384521963955,sd4,48069.780367239895
1070.0,5.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos1.ome.tif,4746.387179104409,sd4,109736.98300255944
403.0,6.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos1.ome.tif,4582.536802215854,sd4,35806.27113389228
377.0,1.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos12.ome.tif,4792.9171085656835,sd4,41964.86440702225
497.0,2.0,../../data/images/20170714_sd4_pre_5ulmin_0.018hz_shock/SD4_5ulmin_pre_2_MMStack_Pos12.ome.tif,4767.543420221606,sd4,39773.62144970171
